"Source","Open Declaration","F12","C/C++ Editor","org.eclipse.cdt.ui.edit.opendecl"
"Tracing","Zoom to selection","Z","In Time-Based View","org.eclipse.tracecompass.tmf.ui.command.zoom.selection"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows","org.eclipse.ui.views.showView"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text","org.eclipse.ui.edit.text.smartEnterInverse"
"Source","Open Declaration","F3","C/C++ Editor","org.eclipse.cdt.ui.edit.opendecl"
"Source","Find Word","Ctrl+F3","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.find.word"
"Text Editing","Select Line End","Shift+End","Editing Text","org.eclipse.ui.edit.text.select.lineEnd"
"Source","Toggle Mark Occurrences","Alt+Shift+O","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.toggleMarkOccurrences"
"Window","Next Editor","Ctrl+F6","In Windows","org.eclipse.ui.window.nextEditor"
"Navigate","Open Task","Ctrl+F12","In Windows","org.eclipse.mylyn.tasks.ui.command.openTask"
"Source","Show outline","Ctrl+O","C/C++ Editor","org.eclipse.cdt.ui.edit.open.outline"
"Refactor - C++","Toggle Function - Refactoring ","Alt+Shift+T","C/C++ Editor","org.eclipse.cdt.ui.refactor.toggle.function"
"Source","Align const qualifiers","Ctrl+Shift+A","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.align.const"
"Text Editing","Zoom In","Ctrl+=","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"Text Editing","Text Start","Ctrl+Home","Editing Text","org.eclipse.ui.edit.text.goto.textStart"
"Window","Next View","Ctrl+F7","In Windows","org.eclipse.ui.window.nextView"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.submitTask"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Control in Focus","org.eclipse.terminal.copy"
"Git","Quick Outline","Ctrl+O","In Diff Viewer","org.eclipse.egit.ui.commit.DiffEditorQuickOutlineCommand"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context","org.eclipse.mylyn.wikitext.ui.quickOutlineCommand"
"Quick Search","Quick Search","Ctrl+Alt+Shift+L","In Windows","org.eclipse.text.quicksearch.commands.quicksearchCommand"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.toggle"
"Refactor - C++","Rename - Refactoring ","Alt+Shift+R","In C/C++ Views","org.eclipse.cdt.ui.edit.text.rename.element"
"Text Editing","Next Word","Ctrl+→","Editing Text","org.eclipse.ui.edit.text.goto.wordNext"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows","org.eclipse.mylyn.tasks.ui.command.searchForTask"
"Window","Previous Editor","Ctrl+Shift+Tab","In Windows","org.eclipse.ui.window.previousEditor"
"Changelog","Insert ChangeLog entry","Ctrl+Alt+C","Comparing in an Editor","org.eclipse.linuxtools.changelog.core.actions.KeyActionCommand"
"Tracing","Toggle Bookmark...","Ctrl+D","In Time Graph","org.eclipse.tracecompass.tmf.ui.timegraph.bookmark"
"Edit","Select Next Element","Alt+Shift+→","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.next"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskComplete"
"Window","Next Perspective","Ctrl+F8","In Windows","org.eclipse.ui.window.nextPerspective"
"Invoke Autotools","Show Outline","Ctrl+O","Autoconf Editor","org.eclipse.cdt.autotools.ui.command.showOutline"
"Navigate","Next Edit Location","Ctrl+Alt+→","In Windows","org.eclipse.ui.edit.text.gotoNextEditPosition"
"TM4E Language Configuration","Remove Block Comment","Ctrl+Shift+\","Editing Text","org.eclipse.tm4e.languageconfiguration.removeBlockCommentCommand"
"Views","Show View (Breakpoints)","Ctrl+Alt+B","In Windows","org.eclipse.ui.views.showView"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++","org.eclipse.cdt.debug.ui.command.reverseStepInto"
"Makefile Source","Open declaration","F3","Makefile Editor","org.eclipse.cdt.make.ui.edit.text.makefile.opendecl"
"Source","Go to Next Member","Ctrl+Shift+↓","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.goto.next.member"
"Navigate","Next Tab","Ctrl+PageDown","In Dialogs and Windows","org.eclipse.ui.navigate.nextTab"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.format.active.elements"
"Source","Forward","Alt+→","In Macro Expansion Hover","org.eclipse.cdt.ui.hover.forwardMacroExpansion"
"Run/Debug","Step Return","F7","Debugging","org.eclipse.debug.ui.commands.StepReturn"
"Text Editing","Move Lines Up","Alt+↑","Editing Text","org.eclipse.ui.edit.text.moveLineUp"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text","org.eclipse.ui.edit.text.deletePreviousWord"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.add.block.comment"
"Edit","Open Selection","F3","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.open.file.from.source"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.expand_all"
"Run/Debug","Debug","F5","In Windows","org.eclipse.debug.ui.commands.DebugLast"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In C/C++ Views","org.eclipse.cdt.ui.navigate.open.type.in.hierarchy"
"Run/Debug","Step Return","Shift+F11","Debugging","org.eclipse.debug.ui.commands.StepReturn"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++","org.eclipse.cdt.debug.ui.command.reverseResume"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor","org.eclipse.cdt.ui.edit.open.call.hierarchy"
"Source","Open Element","Ctrl+Shift+T","In C/C++ Views","org.eclipse.cdt.ui.navigate.opentype"
"Text Editing","Show Tooltip Description","F2","Editing Text","org.eclipse.ui.edit.text.showInformation"
"Source","Surround With Quick Menu","Alt+Shift+Z","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.surround.with.quickMenu"
"Navigate","Previous","Ctrl+,","In Windows","org.eclipse.ui.navigate.previous"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor","org.eclipse.mylyn.task.ui.editor.QuickOutline"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View","org.eclipse.debug.ui.commands.nextMemoryBlock"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text","org.eclipse.ui.edit.text.deleteNextWord"
"Source","Toggle Comment","Ctrl+7","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.toggle.comment"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows","org.eclipse.ui.views.showView"
"Terminal Commands","Open Local Terminal on Selection","Ctrl+Alt+Shift+T","In Windows","org.eclipse.terminal.view.ui.command.launchToolbar"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows","org.eclipse.ui.views.showView"
"Run/Debug","Run to Line","Ctrl+R","Debugging","org.eclipse.debug.ui.commands.RunToLine"
"Edit","Cut","Ctrl+X","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Run/Debug","Step Into","F11","Debugging","org.eclipse.debug.ui.commands.StepInto"
"Source","Show Source Quick Menu","Alt+Shift+S","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.source.quickMenu"
"Source","Add Include","Ctrl+Shift+N","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.add.include"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskIncomplete"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor","org.eclipse.cdt.ui.edit.open.type.hierarchy"
"Run/Debug","Go to Address...","Ctrl+G","In Disassembly","org.eclipse.cdt.dsf.debug.ui.disassembly.commands.gotoAddress"
"Navigate","Previous Page","Alt+Shift+F7","In Windows","org.eclipse.ui.part.previousPage"
"Git","Rename Branch...","F2","In Git Repositories View","org.eclipse.egit.ui.team.RenameBranch"
"UML2 Sequence Diagram Viewer Commands","Go to associated message","Alt+R","UML2 Sequence Diagram Viewer","org.eclipse.linuxtools.tmf.ui.views.uml2sd.handlers.GoToMessage"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.search.find.occurrences"
"Navigate","Activate Task","Ctrl+F9","In Windows","org.eclipse.mylyn.tasks.ui.command.activateTask"
"Tracing","Filter Time Graph events","/","In Time-Based View","org.eclipse.tracecompass.tmf.ui.filter"
"Navigate","Forward History","Alt+→","In Windows","org.eclipse.ui.navigate.forwardHistory"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows","org.eclipse.ui.window.splitEditor"
"Edit","Format","Alt+Shift+F","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.format.document"
"Text Editing","Zoom In","Ctrl++","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"Edit","Previous Sibling","Ctrl+Shift+↑","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.previousSibling"
"Clangd","Toggle Source/Header","Ctrl+Tab","C/C++ Editor (LSP)","org.eclipse.cdt.lsp.clangd.editor.commands.command.switchSourceHeader"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text","org.eclipse.ui.edit.text.toggleInsertMode"
"Text Editing","Select Next Word","Ctrl+Shift+→","Editing Text","org.eclipse.ui.edit.text.select.wordNext"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskRead"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging C/C++","org.eclipse.cdt.debug.ui.command.StepIntoSelection"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.markTaskComplete"
"Source","Format","Alt+Shift+F","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.format"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View","org.eclipse.debug.ui.commands.toggleMemoryMonitorsPane"
"File","New","Ctrl+Shift+N","In Windows","org.eclipse.ui.newWizard"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Alt+Shift+↓","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskReadGoToNextUnread"
"Uncategorized","Find References","Ctrl+Shift+G","in Generic Code Editor","org.eclipse.ui.genericeditor.findReferences"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows","org.eclipse.pde.runtime.spy.commands.menuSpyCommand"
"Search","Open Search Dialog","Ctrl+Shift+F","In Windows","org.eclipse.search.ui.openSearchDialog"
"File","Rename","F2","In Windows","org.eclipse.ui.edit.rename"
"Edit","Shift Left","Shift+Tab","C/C++ Editor","org.eclipse.ui.edit.text.shiftLeft"
"Navigate","Previous Tab","Ctrl+PageUp","In Dialogs and Windows","org.eclipse.ui.navigate.previousTab"
"Source","Indent Line","Ctrl+I","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.indent"
"Navigate","Go To Previous Unread Task","Alt+↑","In Tasks View","org.eclipse.mylyn.tasks.ui.command.goToPreviousUnread"
"Navigate","Backward History","Alt+←","In Windows","org.eclipse.ui.navigate.backwardHistory"
"Language Servers","Go to Symbol in Workspace","Ctrl+Shift+T","In Windows","org.eclipse.lsp4e.symbolInWorkspace"
"Tracing","Left","A","In Time-Based View","org.eclipse.tracecompass.tmf.ui.command.left"
"Changelog","Prepare Changelog In Editor","Ctrl+Alt+P","Comparing in an Editor","org.eclipse.linuxtools.changelog.core.preparechangelog2"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text","org.eclipse.ui.edit.text.smartEnter"
"File","Rename","Alt+Shift+R","in Generic Code Editor","org.eclipse.ui.edit.rename"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows","org.eclipse.ui.navigate.collapseAll"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows","org.eclipse.ui.views.showView"
"Edit","Find Previous","Ctrl+Shift+K","In Windows","org.eclipse.ui.edit.findPrevious"
"Terminal view commands","Terminal view insert","Alt+E","Terminal Typing Connected","org.eclipse.terminal.command1"
"Window","Find Actions","Ctrl+3","In Windows","org.eclipse.ui.window.quickAccess"
"Tracing","Right","D","In Time-Based View","org.eclipse.tracecompass.tmf.ui.command.right"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.markTaskIncomplete"
"Navigate","Go To Next Unread Task","Alt+↓","In Tasks View","org.eclipse.mylyn.tasks.ui.command.goToNextUnread"
"Window","Activate Editor","F12","In Windows","org.eclipse.ui.window.activateEditor"
"Text Editing","Line Start","Home","Editing Text","org.eclipse.ui.edit.text.goto.lineStart"
"Window","Previous View","Ctrl+Shift+F7","In Windows","org.eclipse.ui.window.previousView"
"Run/Debug","EOF","Ctrl+Z","In I/O Console","org.eclipse.debug.ui.commands.eof"
"File","Properties","Alt+Enter","In Windows","org.eclipse.ui.file.properties"
"Window","Toggle Full Screen","Alt+F11","In Dialogs and Windows","org.eclipse.ui.window.fullscreenmode"
"Text Editing","Select Previous Word","Ctrl+Shift+←","Editing Text","org.eclipse.ui.edit.text.select.wordPrevious"
"Edit","Find and Replace","Ctrl+F","In Windows","org.eclipse.ui.edit.findReplace"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows","org.eclipse.ui.window.splitEditor"
"Edit","Select Enclosing C/C++ Element","Alt+Shift+↑","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.select.enclosing"
"Run/Debug","New Rendering","Ctrl+N","In Memory View","org.eclipse.debug.ui.commands.newRendering"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows","org.eclipse.mylyn.tasks.ui.command.deactivateAllTasks"
"File","Close All","Ctrl+Shift+F4","In Windows","org.eclipse.ui.file.closeAll"
"Edit","Select Enclosing Element","Alt+Shift+↑","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.enclosing"
"File","New menu","Alt+Shift+N","In Windows","org.eclipse.ui.file.newQuickMenu"
"Edit","Incremental Find","Ctrl+J","Editing Text","org.eclipse.ui.edit.findIncremental"
"Edit","Delete","Delete","In Windows","org.eclipse.ui.edit.delete"
"Navigate","Show In...","Alt+Shift+W","In Windows","org.eclipse.ui.navigate.showInQuickMenu"
"File","Save All","Ctrl+Shift+S","In Windows","org.eclipse.ui.file.saveAll"
"Source","Organize Includes","Ctrl+Shift+O","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.organize.includes"
"Source","Toggle Comment","Ctrl+Shift+C","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.toggle.comment"
"Edit","Add Bookmark","Ctrl+F2","In Windows","org.eclipse.ui.edit.addBookmark"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context","org.eclipse.mylyn.wikitext.ui.editor.showCheatSheetCommand"
"Text Editing","Next Word","Ctrl+→","Editing Text","org.eclipse.ui.edit.text.goto.wordNext"
"TM4E Language Configuration","Toggle Line Comment","Ctrl+Shift+C","Editing Text","org.eclipse.tm4e.languageconfiguration.toggleLineCommentCommand"
"Source","Declaration","Ctrl+G","In C/C++ Views","org.eclipse.cdt.ui.search.finddecl"
"Tracing","Zoom in (selection)","=","In Time-Based View","org.eclipse.tracecompass.tmf.ui.command.zoomin.selection"
"Text Editing","Scroll Line Up","Ctrl+↑","Editing Text","org.eclipse.ui.edit.text.scroll.lineUp"
"Source","Open Declaration","F3","Assembly Editor","org.eclipse.cdt.ui.edit.opendecl"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows","org.eclipse.ui.window.previousEditor"
"Window","Next Editor","Ctrl+Tab","In Windows","org.eclipse.ui.window.nextEditor"
"ANSI Support Commands","Copy Text Without ANSI Escapes","Ctrl+Insert","In Console View","AnsiConsole.command.copy_without_escapes"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context","org.eclipse.mylyn.wikitext.ui.quickOutlineCommand"
"Text Editing","Previous Word","Ctrl+←","Editing Text","org.eclipse.ui.edit.text.goto.wordPrevious"
"Run/Debug","Go to Program Counter","Home","In Disassembly","org.eclipse.cdt.dsf.debug.ui.disassembly.commands.gotoPC"
"Text Editing","Previous Word","Ctrl+←","Editing Text","org.eclipse.ui.edit.text.goto.wordPrevious"
"Refactor - C++","Extract Function - Refactoring ","Alt+Shift+M","C/C++ Editor","org.eclipse.cdt.ui.refactor.extract.function"
"Source","Copy Qualified Name","Ctrl+Alt+Shift+C","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.copy.qualified.name"
"Changelog","Prepare Changelog","Ctrl+Alt+P","In Windows","org.eclipse.linuxtools.changelog.core.preparechangelog"
"File","Refresh","F5","In Windows","org.eclipse.ui.file.refresh"
"Project","Build All","Ctrl+B","In Windows","org.eclipse.ui.project.buildAll"
"Text Editing","Zoom Out","Ctrl+-","Editing Text","org.eclipse.ui.edit.text.zoomOut"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows","org.eclipse.mylyn.tasks.ui.command.openRemoteTask"
"Source","Declaration","Ctrl+G","C/C++ Editor","org.eclipse.cdt.ui.search.finddecl"
"Task Repositories","Show Tooltip Description","F4","In Tasks View","org.eclipse.mylyn.tasks.ui.command.showToolTip"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor","org.eclipse.cdt.ui.refactor.extract.constant"
"Navigate","Next Page","Alt+F7","In Windows","org.eclipse.ui.part.nextPage"
"Search","Open Search Dialog","Ctrl+H","In Windows","org.eclipse.search.ui.openSearchDialog"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.quick_outline"
"Editor Commands","Organize Patches","Ctrl+Shift+O","Specfile Editor Context","rpmEditor.organizePatches.command"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows","org.eclipse.ui.views.showView"
"Tracing","Zoom out (mouse position)","S","In Time-Based View","org.eclipse.tracecompass.tmf.ui.command.zoomout"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.gotoMatchingTag"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows","org.eclipse.ui.views.showView"
"Language Servers","Enclosing Element","Alt+Shift+↑","in Generic Code Editor","org.eclipse.lsp4e.selectionRange.up"
"Changelog","Prepare Changelog In Editor","Ctrl+Alt+P","Editing Text","org.eclipse.linuxtools.changelog.core.preparechangelog2"
"Window","Show System Menu","Alt+-","In Windows","org.eclipse.ui.window.showSystemMenu"
"Navigate","Next","Ctrl+.","In Windows","org.eclipse.ui.navigate.next"
"Source","Next Bookmark","Shift+F2","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.goto.next.bookmark"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.maximizePart"
"File","New","Ctrl+N","In Windows","org.eclipse.ui.newWizard"
"Edit","Select Previous Element","Alt+Shift+←","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.previous"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows","org.eclipse.ui.views.showView"
"Window","Quick Switch Editor","Ctrl+E","In Windows","org.eclipse.ui.window.openEditorDropDown"
